,driver_standings)_id,race_id,driver_id,points,position,position_text,wins
873,12988,61,13,28.0,5,5,0
874,12987,61,32,1.0,16,16,0
875,12986,61,3,4.0,14,14,0
876,12985,61,17,6.0,13,13,0
877,12984,61,31,26.0,6,6,0
878,12983,61,18,16.0,7,7,0
879,12982,61,8,39.0,3,3,0
880,12981,61,30,59.0,2,2,2
881,12980,61,4,84.0,1,1,6
882,13025,62,36,0.0,23,23,0
883,13024,62,34,0.0,22,22,0
884,13023,62,27,0.0,19,19,0
885,13022,62,35,7.0,13,13,0
886,13021,62,21,43.0,3,3,1
887,13020,62,11,0.0,21,21,0
888,13019,62,33,0.0,20,20,0
889,13018,62,15,8.0,12,12,0
890,13017,62,22,16.0,8,8,0
891,13016,62,23,8.0,11,11,0
892,13015,62,26,0.0,18,18,0
893,13014,62,2,12.0,9,9,0
894,13013,62,24,1.0,16,16,0
895,13012,62,14,10.0,10,10,0
896,13011,62,13,36.0,5,5,0
897,13010,62,32,1.0,17,17,0
898,13009,62,3,4.0,15,15,0
899,13008,62,17,6.0,14,14,0
900,13007,62,31,26.0,6,6,0
901,13006,62,18,16.0,7,7,0
902,13005,62,8,39.0,4,4,0
903,13004,62,30,69.0,2,2,3
904,13003,62,4,88.0,1,1,6
905,13049,63,37,2.0,16,16,0
906,13048,63,36,0.0,24,24,0
907,13047,63,34,0.0,23,23,0
908,13046,63,27,0.0,20,20,0
909,13045,63,35,7.0,13,13,0
910,13044,63,21,46.0,3,3,1
911,13043,63,11,0.0,22,22,0
912,13042,63,33,0.0,21,21,0
913,13041,63,15,8.0,12,12,0
914,13040,63,22,16.0,8,8,0
915,13039,63,23,13.0,9,9,0
916,13038,63,26,0.0,19,19,0
917,13037,63,2,13.0,10,10,0
918,13036,63,24,1.0,17,17,0
919,13035,63,14,10.0,11,11,0
920,13034,63,13,42.0,5,5,0
921,13033,63,32,1.0,18,18,0
922,13032,63,3,4.0,15,15,0
923,13031,63,17,6.0,14,14,0
924,13030,63,31,26.0,6,6,0
925,13029,63,18,16.0,7,7,0
926,13028,63,8,43.0,4,4,0
927,13027,63,30,79.0,2,2,4
928,13026,63,4,96.0,1,1,6
929,13073,64,37,2.0,16,16,0
930,13072,64,36,0.0,24,24,0
931,13071,64,34,0.0,23,23,0
932,13070,64,27,0.0,20,20,0
933,13069,64,35,7.0,13,13,0
934,13068,64,21,49.0,4,4,1
935,13067,64,11,0.0,22,22,0
936,13066,64,33,0.0,21,21,0
937,13065,64,15,10.0,12,12,0
938,13064,64,22,16.0,8,8,0
939,13063,64,23,13.0,9,9,0
940,13062,64,26,0.0,19,19,0
941,13061,64,2,13.0,10,10,0
942,13060,64,24,1.0,18,18,0
943,13059,64,14,10.0,11,11,0
944,13058,64,13,50.0,3,3,0
945,13057,64,32,2.0,17,17,0
946,13056,64,3,4.0,15,15,0
947,13055,64,17,6.0,14,14,0
948,13054,64,31,26.0,6,6,0
949,13053,64,18,21.0,7,7,0
950,13052,64,8,49.0,5,5,0
951,13051,64,30,89.0,2,2,5
952,13050,64,4,100.0,1,1,6
953,13097,65,37,10.0,12,12,0
954,13096,65,36,0.0,24,24,0
